Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/1/15 0:00,CAPITL,1264,5
1/1/15 0:00,CENTRL,1651,5
1/1/15 0:00,DUNWOD,645,5
1/1/15 0:00,GENESE,973,5
1/1/15 0:00,HUD VL,1029,5
1/1/15 0:00,LONGIL,2386,5
1/1/15 0:00,MHK VL,761,5
1/1/15 0:00,MILLWD,317,5
1/1/15 0:00,N.Y.C.,5357,5
1/1/15 0:00,NORTH,528,5
1/1/15 0:00,WEST,1700,5
1/1/15 1:00,CAPITL,1200,6
1/1/15 1:00,CENTRL,1557,6
1/1/15 1:00,DUNWOD,623,6
1/1/15 1:00,GENESE,925,6
1/1/15 1:00,HUD VL,985,6
1/1/15 1:00,LONGIL,2278,6
1/1/15 1:00,MHK VL,715,6
1/1/15 1:00,MILLWD,311,6
1/1/15 1:00,N.Y.C.,5179,6
1/1/15 1:00,NORTH,539,6
1/1/15 1:00,WEST,1614,6
1/1/15 2:00,CAPITL,1145,7
1/1/15 2:00,CENTRL,1514,7
1/1/15 2:00,DUNWOD,600,7
1/1/15 2:00,GENESE,896,7
1/1/15 2:00,HUD VL,942,7
1/1/15 2:00,LONGIL,2196,7
1/1/15 2:00,MHK VL,708,7
1/1/15 2:00,MILLWD,299,7
1/1/15 2:00,N.Y.C.,5009,7
1/1/15 2:00,NORTH,534,7
1/1/15 2:00,WEST,1559,7
1/1/15 3:00,CAPITL,1130,8
1/1/15 3:00,CENTRL,1506,8
1/1/15 3:00,DUNWOD,580,8
1/1/15 3:00,GENESE,887,8
1/1/15 3:00,HUD VL,926,8
1/1/15 3:00,LONGIL,2139,8
1/1/15 3:00,MHK VL,705,8
1/1/15 3:00,MILLWD,287,8
1/1/15 3:00,N.Y.C.,4871,8
1/1/15 3:00,NORTH,538,8
1/1/15 3:00,WEST,1537,8
1/1/15 4:00,CAPITL,1114,9
1/1/15 4:00,CENTRL,1552,9
1/1/15 4:00,DUNWOD,569,9
1/1/15 4:00,GENESE,893,9
1/1/15 4:00,HUD VL,924,9
1/1/15 4:00,LONGIL,2101,9
1/1/15 4:00,MHK VL,722,9
1/1/15 4:00,MILLWD,287,9
1/1/15 4:00,N.Y.C.,4777,9
1/1/15 4:00,NORTH,549,9
1/1/15 4:00,WEST,1544,9
1/1/15 5:00,CAPITL,1163,10
1/1/15 5:00,CENTRL,1581,10
1/1/15 5:00,DUNWOD,586,10
1/1/15 5:00,GENESE,907,10
1/1/15 5:00,HUD VL,947,10
1/1/15 5:00,LONGIL,2123,10
1/1/15 5:00,MHK VL,735,10
1/1/15 5:00,MILLWD,302,10
1/1/15 5:00,N.Y.C.,4811,10
1/1/15 5:00,NORTH,549,10
1/1/15 5:00,WEST,1566,10
1/1/15 6:00,CAPITL,1182,11
1/1/15 6:00,CENTRL,1596,11
1/1/15 6:00,DUNWOD,604,11
1/1/15 6:00,GENESE,929,11
1/1/15 6:00,HUD VL,970,11
1/1/15 6:00,LONGIL,2168,11
1/1/15 6:00,MHK VL,747,11
1/1/15 6:00,MILLWD,313,11
1/1/15 6:00,N.Y.C.,4905,11
1/1/15 6:00,NORTH,554,11
1/1/15 6:00,WEST,1594,11
1/1/15 7:00,CAPITL,1194,12
1/1/15 7:00,CENTRL,1617,12
1/1/15 7:00,DUNWOD,596,12
1/1/15 7:00,GENESE,942,12
1/1/15 7:00,HUD VL,969,12
1/1/15 7:00,LONGIL,2150,12
1/1/15 7:00,MHK VL,750,12
1/1/15 7:00,MILLWD,304,12
1/1/15 7:00,N.Y.C.,4968,12
1/1/15 7:00,NORTH,550,12
1/1/15 7:00,WEST,1606,12
1/1/15 8:00,CAPITL,1227,13
1/1/15 8:00,CENTRL,1642,13
1/1/15 8:00,DUNWOD,597,13
1/1/15 8:00,GENESE,960,13
1/1/15 8:00,HUD VL,1001,13
1/1/15 8:00,LONGIL,2164,13
1/1/15 8:00,MHK VL,796,13
1/1/15 8:00,MILLWD,315,13
1/1/15 8:00,N.Y.C.,5051,13
1/1/15 8:00,NORTH,560,13
1/1/15 8:00,WEST,1612,13
1/1/15 9:00,CAPITL,1294,14
1/1/15 9:00,CENTRL,1761,14
1/1/15 9:00,DUNWOD,619,14
1/1/15 9:00,GENESE,979,14
1/1/15 9:00,HUD VL,1052,14
1/1/15 9:00,LONGIL,2263,14
1/1/15 9:00,MHK VL,863,14
1/1/15 9:00,MILLWD,327,14
1/1/15 9:00,N.Y.C.,5197,14
1/1/15 9:00,NORTH,570,14
1/1/15 9:00,WEST,1720,14
1/1/15 10:00,CAPITL,1355,15
1/1/15 10:00,CENTRL,1841,15
1/1/15 10:00,DUNWOD,650,15
1/1/15 10:00,GENESE,1011,15
1/1/15 10:00,HUD VL,1090,15
1/1/15 10:00,LONGIL,2382,15
1/1/15 10:00,MHK VL,904,15
1/1/15 10:00,MILLWD,338,15
1/1/15 10:00,N.Y.C.,5388,15
1/1/15 10:00,NORTH,577,15
1/1/15 10:00,WEST,1792,15
1/1/15 11:00,CAPITL,1401,16
1/1/15 11:00,CENTRL,1887,16
1/1/15 11:00,DUNWOD,665,16
1/1/15 11:00,GENESE,1088,16
1/1/15 11:00,HUD VL,1114,16
1/1/15 11:00,LONGIL,2485,16
